nazwa,dzielnica,pokoj,metry,cena_metr,cena
- Gotowa Inwestycja - Stare Miasto -," Kraków, Stare Miasto",3 pokoje,"93,70 m²",9 072 zł/m²,850000zł
Wiślane Tarasy|Grzegórzki|3 Pok.+Garaż+Komórka," Kraków, Grzegórzki",3 pokoje,71 m²,11 549 zł/m²,820000zł
"Mieszkanie, 78,90 m², Kraków"," Kraków, Stare Podgórze",3 pokoje,"78,90 m²",10 773 zł/m²,850000zł
"2 mieszkania, 6 pok, ul.Grzegórzecka, 112m2, Mpc"," Kraków, Grzegórzki",4 pokoje,112 m²,8 000 zł/m²,896000zł
Centrum-Dwupak Inwestycyjny-Świetna stopa zwrotu," Kraków, Centrum",4 pokoje,93 m²,9 140 zł/m²,850000zł
Czteropokojowy apartament z widokiem na Wawel," Kraków, Dębniki",4 pokoje,"85,49 m²",10 273 zł/m²,878214zł
Białe Piaski Apartamenty 4.2 133m2," Kraków, Bronowice Wielkie",5 pokoi,"132,88 m²",6 502 zł/m²,864000zł
Białe Piaski Apartamenty 5.2 133m2," Kraków, Bronowice Wielkie",5 pokoi,"132,89 m²",6 502 zł/m²,864000zł
Luksusowy Apartament W Centrum Krakowa," Kraków, Krowodrza",2 pokoje,77 m²,11 429 zł/m²,880000zł
Mieszkanie marzeń nad Wisłą," Kraków, Grzegórzki",3 pokoje,"65,43 m²",12 800 zł/m²,837504zł
Sprzedam 2 apartamenty na Topolowej pod inwestycje," Kraków, Stare Miasto",3 pokoje,"78,50 m²",10 828 zł/m²,850000zł
Piękny 3pok. apartament z tarasem na Krowodrzy," Kraków, Łobzów",3 pokoje,"64,20 m²",13 240 zł/m²,850000zł
"4 pok, do wejścia, sprzedaż, Prądnik Czerwony, Krk"," Kraków, Prądnik Czerwony",4 pokoje,111 m²,7 829 zł/m²,869000zł
Apartament 3-Pokojowy 92M2 Wola Justowska," Kraków, Zwierzyniec",3 pokoje,"92,50 m²",9 719 zł/m²,899000zł
Apartament inwestycyjny na Krowodrzy," Kraków, Krowodrza",2 pokoje,"76,94 m²",11 437 zł/m²,880000zł
ul.Palacha -Świetne 1pok Parze/Singlom. Krowodrza.," Kraków, Azory",1 pokój,"24,10 m²",8 714 zł/m²,210000zł
Mieszkanie w centrum Krakowa z tarasem," Kraków, Grzegórzki",3 pokoje,"69,79 m²",12 890 zł/m²,899593zł
Białe Piaski Apartamenty 5.1 105m2," Kraków, Bronowice Wielkie",4 pokoje,"104,59 m²",6 999 zł/m²,732000zł
Super Apartament Do Inwestycji /Garaż - Pawia," Kraków, Stare Miasto",2 pokoje,"60,50 m²",12 545 zł/m²,759000zł
"Zachwycający widok, mieszkanie po remoncie"," Kraków, Salwator",3 pokoje,"78,30 m²",10 345 zł/m²,810000zł
Apartament - Wola Justowska - Garaż - Okazja," Kraków, Zwierzyniec",2 pokoje,"83,75 m²",9 552 zł/m²,800000zł
Ustawne mieszkanie z widokiem Bronowice," Kraków, Bronowice",4 pokoje,92 m²,9 671 zł/m²,"889727,68zł"
Krowodrza trzypokojowy apartament z garażem," Kraków, Krowodrza",3 pokoje,65 m²,13 077 zł/m²,850000zł
Rydla 4 pokoje 105m2 + komórka lokatorska," Kraków, Bronowice Małe",4 pokoje,105 m²,8 095 zł/m²,850000zł
Idealne miejsce blisko Błoń bez prowizji !!!!," Kraków, Zwierzyniec",4 pokoje,"83,75 m²",9 552 zł/m²,800000zł
"Mieszkanie, 70,79 m², Kraków"," Kraków, Bronowice",3 pokoje,"70,79 m²",12 417 zł/m²,879000zł
Gustownie wykończone z dużym balkonem," Kraków, Wola Justowska",3 pokoje,85 m²,10 000 zł/m²,850000zł
Taras 60m2 - przestrzeń do życia z widokiem.," Kraków, Prądnik Biały",4 pokoje,"74,99 m²",10 801 zł/m²,810000zł
"3 pok aparatment, sprzedaż, Krowodrza, Kraków"," Kraków, Krowodrza Górka",2 pokoje,73 m²,12 055 zł/m²,880000zł
Apartament - Wola Justowska - Garaż - Okazja," Kraków, Zwierzyniec",2 pokoje,"83,75 m²",9 552 zł/m²,800000zł
Apartament w centrum Krakowa zarobkowy !!!," Kraków, Stare Miasto",2 pokoje,"63,91 m²",13 143 zł/m²,840000zł
"Kraków, Kraków- Krowodrza, Wola Justowska, ul Nad"," Kraków, Wola Justowska",5 pokoi,"135,91 m²",6 622 zł/m²,900000zł
Nowa inwestycja PIEDMONT -Centrum Starego Podgórza," Kraków, Stare Podgórze",5 pokoi,107 m²,8 359 zł/m²,894385zł
Apartament 2 pokojowy," Kraków, Krowodrza",2 pokoje,"76,94 m²",11 437 zł/m²,880000zł
Mieszkanie w doskonałej lokalizacji Kraków," Kraków, Bronowice",4 pokoje,"92,08 m²",9 503 zł/m²,"875064,93zł"
Ustawne mieszkanie z widokiem Bronowice," Kraków, Bronowice",4 pokoje,"92,09 m²",9 390 zł/m²,"864744,32zł"
Ustawne mieszkanie z widokiem Bronowice," Kraków, Bronowice",4 pokoje,92 m²,9 671 zł/m²,"889727,68zł"
"Mieszkanie, 83,75 m², Kraków"," Kraków, Krowodrza",3 pokoje,"83,75 m²",9 552 zł/m²,800000zł
Apartament w Angel City na sprzedaż," Kraków, Stare Miasto",3 pokoje,"76,64 m²",11 091 zł/m²,850000zł
Komfortowe mieszkanie dla rodziny!," Kraków, Prądnik Biały",8 pokoi,124 m²,6 855 zł/m²,850000zł
"Mieszkanie, 94 m², Kraków"," Kraków, Stare Miasto",4 pokoje,94 m²,9 043 zł/m²,850000zł
