nazwa,dzielnica,pokoj,metry,cena_metr,cena
Mieszkanie z potencjałem ! 4 pokoje w Biezanowie," Kraków, Bieżanów-Prokocim",3 pokoje,54 m²,5 019 zł/m²,271000zł
Komfortowe 3 pokoje + duży balkon," Kraków, Żabiniec",3 pokoje,"60,94 m²",6 987 zł/m²,425787zł
"Nowe, 2 pokoje + ogródek"," Kraków, Żabiniec",2 pokoje,"39,29 m²",7 801 zł/m²,306500zł
Komfortowe 2 pokoje w doskonałej lokalizacji," Kraków, Kazimierz",2 pokoje,"44,32 m²",13 398 zł/m²,593800zł
Komfortowa garsoniera z dużym balkonem," Kraków, Żabiniec",1 pokój,"29,30 m²",8 823 zł/m²,258500zł
"Komfortowe 2 pokoje, ogród, kameralna zabudowa"," Kraków, Bronowice Małe",2 pokoje,"50,39 m²",7 449 zł/m²,375355zł
Kameralnie w otoczeniu zieleni," Kraków, Bronowice Małe",3 pokoje,"71,25 m²",6 998 zł/m²,498600zł
"Mieszkanie, 36,50 m², Kraków"," Kraków, Bieńczyce",2 pokoje,"36,50 m²",7 370 zł/m²,269000zł
"Mieszkanie, 45,05 m², Kraków"," Kraków, Krowodrza",2 pokoje,"45,05 m²",8 300 zł/m²,373915zł
"Mieszkanie, 40,39 m², Kraków"," Kraków, Krowodrza",2 pokoje,"40,39 m²",8 300 zł/m²,335237zł
"Mieszkanie, 37,97 m², Kraków"," Kraków, Krowodrza",1 pokój,"37,97 m²",8 300 zł/m²,315151zł
"Mieszkanie, 72,26 m², Kraków"," Kraków, Nowa Huta",4 pokoje,"72,26 m²",6 601 zł/m²,477000zł
"Mieszkanie, 50 m², Kraków"," Kraków, Prądnik Biały",2 pokoje,50 m²,7 380 zł/m²,369000zł
"3 pokojowe, dwupoziomowe mieszkanie- Podgórze"," Kraków, Piaski Wielkie",3 pokoje,78 m²,6 795 zł/m²,530000zł
"Wykończone mieszkanie, 2-pok, Kraków, Ruczaj"," Kraków, Ruczaj",2 pokoje,39 m²,7 308 zł/m²,285000zł
ul.Palacha -Świetne 1pok Parze/Singlom. Krowodrza.," Kraków, Azory",1 pokój,"24,10 m²",8 714 zł/m²,210000zł
"Mieszkanie 2 pok, 36m2, Grzegórzecka, Grzegórzki"," Kraków, Grzegórzki",2 pokoje,36 m²,9 861 zł/m²,355000zł
