nazwa,dzielnica,pokoj,metry,cena_metr,cena
Mieszkanie w Podgórzu.," Kraków, Płaszów",3 pokoje,"59,04 m²",7 280 zł/m²,429811zł
Apartament z widokiem na Wawel!," Kraków, Ludwinów",2 pokoje,"46,12 m²",12 756 zł/m²,588321zł
2-pokoje z tarasem i ogródkiem," Kraków, Ruczaj",3 pokoje,"75,66 m²",6 873 zł/m²,520000zł
2-pokoje z tarasem i ogródkiem," Kraków, Ruczaj",2 pokoje,"39,46 m²",7 299 zł/m²,288000zł
Mieszkanie dla rodziny na bezpiecznym osiedlu," Kraków, Czyżyny",4 pokoje,73 m²,5 250 zł/m²,383250zł
Przestronne 3-pokojowe z balkonem," Kraków, Czyżyny",3 pokoje,"49,55 m²",6 677 zł/m²,330845zł
Niedrogo w cennej lokalizacji," Kraków, Olsza",4 pokoje,"82,98 m²",6 700 zł/m²,555966zł
Dwupoziomowe 3-pokojowe mieszkanie na Czyżynach," Kraków, małopolskie",3 pokoje,84 m²,6 190 zł/m²,520000zł
Niedrogo w cennej lokalizacji," Kraków, Olsza",3 pokoje,"60,97 m²",7 069 zł/m²,430973zł
2 pokoje parter/II p. Bieżanów tramwaj," Kraków, Bieżanów",2 pokoje,34 m²,5 824 zł/m²,198000zł
Niedrogo w cennej lokalizacji," Kraków, Olsza",2 pokoje,"58,42 m²",7 147 zł/m²,417507zł
"Zielona i spokojna dzielnica, dobra komunikacja"," Kraków, Złocień",3 pokoje,"51,04 m²",5 150 zł/m²,262856zł
"Nowoczesne osiedle, w wysokim standardzie"," Kraków, Krowodrza",3 pokoje,"46,42 m²",7 300 zł/m²,338866zł
"Nowoczesne osiedle, w wysokim standardzie"," Kraków, Krowodrza",2 pokoje,"35,67 m²",7 331 zł/m²,261513zł
Atrakcyjne 100 metrowe poddasze," Kraków, Krowodrza",3 pokoje,107 m²,4 056 zł/m²,434000zł
4 pokojowe y 2 balokami !!," Kraków, Bieżanów-Prokocim",4 pokoje,55 m²,6 345 zł/m²,349000zł
Kawalerka ostatnie czyżyny," Kraków, Czyżyny",2 pokoje,29 m²,7 414 zł/m²,215000zł
ul.Palacha -Świetne 1pok Parze/Singlom. Krowodrza.," Kraków, Azory",1 pokój,"24,10 m²",8 714 zł/m²,210000zł
Kawalerka po remoncie bez prowizji," Kraków, Krowodrza",1 pokój,"16,72 m²",13 098 zł/m²,219000zł
Zamieszkaj w wyjątkowym miejscu.," Kraków, Wola Justowska",4 pokoje,"72,17 m²",8 100 zł/m²,584600zł
"EmausResidence ,Wola Justowska,ostatnie apartament"," Kraków, Wola Justowska",3 pokoje,61 m²,11 492 zł/m²,701000zł
Spokojna willowa okolica - Centrum - Taras," Kraków, Olsza",3 pokoje,"44,56 m²",9 520 zł/m²,424200zł
Olsza - duże przestronne - loggia - 2 pok," Kraków, Olsza",2 pokoje,"39,70 m²",9 131 zł/m²,362500zł
Willowa okolica - apartament - 2 pok - garaż," Kraków, Olsza",2 pokoje,"37,10 m²",8 208 zł/m²,304500zł
"Widok, przestrzeń, czyste powietrze!"," Kraków, Wzgórza Krzesławickie",3 pokoje,"54,41 m²",5 800 zł/m²,315578zł
"Zamieszkaj tam, skąd wszędzie jest blisko!"," Kraków, Wzgórza Krzesławickie",2 pokoje,"43,56 m²",5 600 zł/m²,243936zł
"Zamieszkaj tam, skąd wszędzie jest blisko!"," Kraków, Wzgórza Krzesławickie",1 pokój,"31,54 m²",6 000 zł/m²,189240zł
"Doskonała lokalizacja, wysoki standard, relaks"," Kraków, Grzegórzki",3 pokoje,"68,64 m²",8 900 zł/m²,610896zł
"Kompleksowe osiedle, tramwaj, zieleń"," Kraków, Mistrzejowice",3 pokoje,"51,11 m²",6 400 zł/m²,327104zł
Zamieszkaj w zgodzie z naturą!," Kraków, Nowa Huta",3 pokoje,"59,32 m²",6 200 zł/m²,367784zł
Zamieszkaj w zgodzie z naturą!," Kraków, Nowa Huta",2 pokoje,"55,88 m²",5 900 zł/m²,329692zł
mieszkanie z 65-metrowym ogródkiem," Kraków, Prądnik Biały",3 pokoje,"64,80 m²",6 173 zł/m²,399999zł
3-pokojowe z możliwością wydzielenia 4 pokoi," Kraków, Płaszów",3 pokoje,75 m²,6 067 zł/m²,455000zł
Kraków - ul. Kapucyńska – 4 pokoje - 92 m2," Kraków, Stare Miasto",4 pokoje,92 m²,8 587 zł/m²,790000zł
Już gotowy apartament z ogromnymi tarasami !," Kraków, Krowodrza",5 pokoi,"122,19 m²",13 258 zł/m²,1620000zł
Mieszkanie 5- pokojowe z tarasem w dobrej cenie.," Kraków, Wola Duchacka",5 pokoi,116 m²,6 026 zł/m²,699000zł
"Sprzedam mieszkanie na Kazimierzu, ul. Józefa"," Kraków, Kazimierz",2 pokoje,"67,81 m²",9 128 zł/m²,619000zł
Ostatnie mieszkanie!! Piłsudskiego," Kraków, Stare Miasto",2 pokoje,"42,30 m²",19 900 zł/m²,841770zł
apartament 2 pokoje idealny pod inwestycję," Kraków, Krowodrza",2 pokoje,"45,66 m²",7 803 zł/m²,"356284,98zł"
3 pokoje wielki balkon 8 min tramwajem do centrum," Kraków, Krowodrza",3 pokoje,"53,92 m²",7 497 zł/m²,"404238,24zł"
kawalerka idealna pod inwestycję Krowodrza," Kraków, Krowodrza",1 pokój,"29,30 m²",8 619 zł/m²,"252536,70zł"
2 pokoje 8 min tramwajem od galerii krakowskiej," Kraków, Krowodrza",2 pokoje,"39,29 m²",7 803 zł/m²,"306579,87zł"
"PROMOCJA ŚWIĄTECZNA-Mieszkanie ogródek 47,27m2"," Kraków, Swoszowice",2 pokoje,"55,24 m²",4 590 zł/m²,253552zł
Kawalerka po remoncie ul. Niewodniczańskiego," Kraków, Swoszowice",1 pokój,"15,75 m²",9 016 zł/m²,142000zł
Wyremontowana kawalerka w dzielnicy Swoszowice.," Kraków, Swoszowice",1 pokój,15 m²,6 600 zł/m²,99000zł
ul.Palacha -Świetne 1pok Parze/Singlom. Krowodrza.," Kraków, Azory",1 pokój,"24,10 m²",8 714 zł/m²,210000zł
Atrakcyjne 100 metrowe poddasze," Kraków, Krowodrza",3 pokoje,107 m²,4 056 zł/m²,434000zł
Czyżyny 2 pokoje Nowe," Kraków, Czyżyny",2 pokoje,34 m²,7 324 zł/m²,249000zł
3 pokojowe do wejścia na Osiedlu Oficerskim!!," Kraków, Grzegórzki",3 pokoje,60 m²,11 083 zł/m²,665000zł
"2 pokoje, balkon Bieńczyce os. Przy Arce remont"," Kraków, Bieńczyce",2 pokoje,"37,65 m²",8 393 zł/m²,316000zł
"apartament 4pok taras 27,5m2 ok.Aqua Park/Serenada"," Kraków, Prądnik Czerwony",4 pokoje,"84,90 m²",6 800 zł/m²,577320zł
Ruczaj Mieszkanie dwupokojowe z garażem i piwnicą," Kraków, Podgórze",2 pokoje,56 m²,7 411 zł/m²,415000zł
"Mieszkanie typu Studio, Żabiniec, Prądnik Biały"," Kraków, Żabiniec",1 pokój,"29,30 m²",8 721 zł/m²,255520zł
Mieszkanie inwestycyjne po remoncie. Okazja!!," Kraków, Bronowice",1 pokój,34 m²,7 353 zł/m²,250000zł
Ustawny apartament w prestiżowej lokalizacji," Kraków, Wola Justowska",3 pokoje,56 m²,8 446 zł/m²,473000zł
Luksusowy apartament 95m2," Kraków, Wola Justowska",4 pokoje,95 m²,7 500 zł/m²,712500zł
3-pokojowe mieszkanie z tarasem i ogrodem zimowym," Kraków, Dębniki",3 pokoje,"120,77 m²",6 608 zł/m²,798000zł
"0% prowizji. Mieszkanie 2-pok, Bronowice 279.000zł"," Kraków, Bronowice",2 pokoje,37 m²,7 541 zł/m²,279000zł
"Nowy, wykończony apartament na Żabińcu"," Kraków, Żabiniec",2 pokoje,"47,81 m²",10 228 zł/m²,489000zł
Mieszkanie 2 Pokojowe W Starej Hucie," Kraków, małopolskie",2 pokoje,50 m²,5 780 zł/m²,289000zł
"Kawalerka, Nowa Huta, dobra lokalizacja"," Kraków, Nowa Huta",1 pokój,25 m²,7 160 zł/m²,179000zł
Mieszkanie 1 piętro stara huta," Kraków, małopolskie",3 pokoje,50 m²,5 780 zł/m²,289000zł
"Daszyńskiego 3 pokoje, 69m2 + strych i 2 piwnice"," Kraków, Grzegórzki",3 pokoje,69 m²,10 000 zł/m²,690000zł
"BEZPOŚREDNIO mieszkanie+taras11,25m2+ogródek 22m2!"," Kraków, małopolskie",3 pokoje,"66,60 m²",9 910 zł/m²,660000zł
"Mieszkanie, 52 m², Kraków"," Kraków, Stare Podgórze",3 pokoje,52 m²,9 519 zł/m²,495000zł
3 pokoje ul. Włoska," Kraków, Wola Duchacka",3 pokoje,65 m²,6 385 zł/m²,415000zł
2 pokoje wysoki standard," Kraków, Prądnik Biały",2 pokoje,50 m²,11 800 zł/m²,590000zł
1 pokój Prądnik Czerwony," Kraków, Prądnik Czerwony",1 pokój,32 m²,8 531 zł/m²,273000zł
PRZEDSPRZEDAŻ! Ostatnia wolna kawalerka ŻABINIEC," Kraków, Krowodrza",1 pokój,"25,23 m²",8 997 zł/m²,227000zł
Wielicka Garden 3 -pokoje/52m2," Kraków, Podgórze",3 pokoje,52 m²,9 327 zł/m²,485000zł
Wola Justowska -Okazyjna Cena !!!Widok Na Las!," Kraków, Wola Justowska",4 pokoje,"139,40 m²",9 326 zł/m²,1300000zł
Wola Justowska -Okazyjna Cena !!!," Kraków, Wola Justowska",4 pokoje,106 m²,7 547 zł/m²,800000zł
Wola Justowska -Okazyjna Cena !!! Salon 45M2," Kraków, Wola Justowska",4 pokoje,105 m²,8 571 zł/m²,900000zł
Ruczaj/54m2/3pokoje/osobna kuchnia/Bez PCC," Kraków, Ruczaj",3 pokoje,"53,83 m²",7 226 zł/m²,389000zł
Piltza/2pokoje/39m2/Bez PCC," Kraków, Ruczaj",2 pokoje,"39,13 m²",7 411 zł/m²,290000zł
Gotowe/3pokoje/Przy Tramwaju/Bez PCC," Kraków, Grzegórzki",3 pokoje,61 m²,8 443 zł/m²,515000zł
